question_id,scenario_id,setting,difficulty,variant,tier,tier_name,narrative,characters,question_text,choice_A,choice_B,choice_C,choice_D,correct_answer,explanation,tags
Q_SCN004_T3,SCN_004,domestic,hard,original,3,counterfactual_tom,Mia puts her phone on charge in the bedroom. David takes Mia's phone to look up a recipe in the kitchen. Lily puts the phone back in the bedroom before Mia returns. Mia comes back to the bedroom.,"{""A"": ""Mia"", ""B"": ""David"", ""C"": ""Lily""}","If Mia had witnessed event_2, what would Mia most likely think about David's intention?",David was unaware of the consequences,David was confused or mistaken,David was trying to help or organize,David was acting with hidden intent,D,"Counterfactually, if Mia had witnessed event_2 (David takes Mia's phone to look up a recipe in the kitchen.), Mia would likely interpret David's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""coincidental_true_belief"", ""multi_transfer""]"
Q_SCN005_T1,SCN_005,domestic,easy,original,1,first_order_tom,"Olivia tells Ethan she is going to the grocery store. After Ethan leaves the room, Olivia changes her mind and decides to go to the pharmacy instead. Chloe does not tell Ethan about the change of plans.","{""A"": ""Olivia"", ""B"": ""Ethan"", ""C"": ""Chloe""}","Based on what Olivia has witnessed, what does Olivia believe about the destination?",Olivia has no opinion about it,grocery store,pharmacy,Olivia does not know,C,"Olivia only witnessed event_1, event_2. They did not witness event_3. Therefore, Olivia believes the destination is: pharmacy.","[""plan_change"", ""false_belief"", ""information_asymmetry""]"
Q_SCN005_T2,SCN_005,domestic,easy,original,2,second_order_tom,"Olivia tells Ethan she is going to the grocery store. After Ethan leaves the room, Olivia changes her mind and decides to go to the pharmacy instead. Chloe does not tell Ethan about the change of plans.","{""A"": ""Olivia"", ""B"": ""Ethan"", ""C"": ""Chloe""}",What does Olivia think Ethan believes about the destination?,Olivia thinks Ethan doesn't know about the destination,Ethan has never encountered the destination,grocery store,pharmacy,D,"Olivia knows that Ethan was present for event_1. From Olivia's perspective, Ethan's belief would be: pharmacy. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""plan_change"", ""false_belief"", ""information_asymmetry""]"
Q_SCN005_T3,SCN_005,domestic,easy,original,3,counterfactual_tom,"Olivia tells Ethan she is going to the grocery store. After Ethan leaves the room, Olivia changes her mind and decides to go to the pharmacy instead. Chloe does not tell Ethan about the change of plans.","{""A"": ""Olivia"", ""B"": ""Ethan"", ""C"": ""Chloe""}","If Olivia had witnessed event_3, what would Olivia most likely think about Ethan's intention?",Ethan was acting with hidden intent,Ethan was trying to help or organize,Ethan was unaware of the consequences,Ethan was confused or mistaken,A,"Counterfactually, if Olivia had witnessed event_3 (Chloe does not tell Ethan about the change of plans.), Olivia would likely interpret Ethan's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""plan_change"", ""false_belief"", ""information_asymmetry""]"
Q_SCN006_T1,SCN_006,domestic,medium,original,1,first_order_tom,"Noah puts the TV remote on the coffee table. Ava moves the remote to the bookshelf while Noah is in the bathroom. Lucas, who was napping, wakes up and sees the remote on the bookshelf. Noah returns from the bathroom.","{""A"": ""Noah"", ""B"": ""Ava"", ""C"": ""Lucas""}","Based on what Noah has witnessed, what does Noah believe about the remote location?",Noah has no opinion about it,coffee table,Noah does not know,bookshelf,B,"Noah only witnessed event_1, event_4. They did not witness event_2, event_3. Therefore, Noah believes the remote location is: coffee table.","[""object_location"", ""false_belief"", ""independent_discovery""]"
Q_SCN006_T2,SCN_006,domestic,medium,original,2,second_order_tom,"Noah puts the TV remote on the coffee table. Ava moves the remote to the bookshelf while Noah is in the bathroom. Lucas, who was napping, wakes up and sees the remote on the bookshelf. Noah returns from the bathroom.","{""A"": ""Noah"", ""B"": ""Ava"", ""C"": ""Lucas""}",What does Noah think Ava believes about the remote location?,bookshelf,Ava has never encountered the remote location,Noah thinks Ava doesn't know about the remote location,coffee table,D,"Noah knows that Ava was present for event_1. From Noah's perspective, Ava's belief would be: coffee table. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""false_belief"", ""independent_discovery""]"
Q_SCN006_T3,SCN_006,domestic,medium,original,3,counterfactual_tom,"Noah puts the TV remote on the coffee table. Ava moves the remote to the bookshelf while Noah is in the bathroom. Lucas, who was napping, wakes up and sees the remote on the bookshelf. Noah returns from the bathroom.","{""A"": ""Noah"", ""B"": ""Ava"", ""C"": ""Lucas""}","If Noah had witnessed event_2, what would Noah most likely think about Ava's intention?",Ava was trying to help or organize,Ava was unaware of the consequences,Ava was acting with hidden intent,Ava was confused or mistaken,C,"Counterfactually, if Noah had witnessed event_2 (Ava moves the remote to the bookshelf while Noah is in the bathroom.), Noah would likely interpret Ava's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""false_belief"", ""independent_discovery""]"
Q_SCN007_T1,SCN_007,domestic,medium,original,1,first_order_tom,Isabella wraps a present and hides it in the top of her wardrobe. James sees Isabella going to the wardrobe and assumes she hid something there. Sophie moves the present to under the bed when both Isabella and James are out.,"{""A"": ""Isabella"", ""B"": ""James"", ""C"": ""Sophie""}","Based on what Isabella has witnessed, what does Isabella believe about the present location?",Isabella has no opinion about it,Isabella does not know,under the bed,top of wardrobe,D,"Isabella only witnessed event_1. They did not witness event_2, event_3. Therefore, Isabella believes the present location is: top of wardrobe.","[""object_location"", ""inference_based_belief"", ""false_belief""]"
Q_SCN007_T2,SCN_007,domestic,medium,original,2,second_order_tom,Isabella wraps a present and hides it in the top of her wardrobe. James sees Isabella going to the wardrobe and assumes she hid something there. Sophie moves the present to under the bed when both Isabella and James are out.,"{""A"": ""Isabella"", ""B"": ""James"", ""C"": ""Sophie""}",What does Isabella think James believes about the present location?,top of wardrobe,under the bed,Isabella thinks James doesn't know about the present location,James has never encountered the present location,A,"Isabella knows that James was present for some events. From Isabella's perspective, James's belief would be: top of wardrobe. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""inference_based_belief"", ""false_belief""]"
Q_SCN007_T3,SCN_007,domestic,medium,original,3,counterfactual_tom,Isabella wraps a present and hides it in the top of her wardrobe. James sees Isabella going to the wardrobe and assumes she hid something there. Sophie moves the present to under the bed when both Isabella and James are out.,"{""A"": ""Isabella"", ""B"": ""James"", ""C"": ""Sophie""}","If Isabella had witnessed event_2, what would Isabella most likely think about James's intention?",James was acting with hidden intent,James was confused or mistaken,James was unaware of the consequences,James was trying to help or organize,A,"Counterfactually, if Isabella had witnessed event_2 (James sees Isabella going to the wardrobe and assumes she hid something there.), Isabella would likely interpret James's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""inference_based_belief"", ""false_belief""]"
Q_SCN008_T1,SCN_008,domestic,easy,original,1,first_order_tom,"Harper tells Daniel and Grace that dinner will be at 7 PM. Harper texts Daniel privately that dinner is moved to 8 PM. Grace asks Daniel what time dinner is, but Daniel is on the phone and doesn't hear her.","{""A"": ""Harper"", ""B"": ""Daniel"", ""C"": ""Grace""}","Based on what Harper has witnessed, what does Harper believe about the dinner time?",8 PM,Harper has no opinion about it,Harper does not know,7 PM,A,"Harper only witnessed event_1, event_2. They did not witness event_3. Therefore, Harper believes the dinner time is: 8 PM.","[""schedule_change"", ""selective_communication"", ""information_asymmetry""]"
Q_SCN008_T2,SCN_008,domestic,easy,original,2,second_order_tom,"Harper tells Daniel and Grace that dinner will be at 7 PM. Harper texts Daniel privately that dinner is moved to 8 PM. Grace asks Daniel what time dinner is, but Daniel is on the phone and doesn't hear her.","{""A"": ""Harper"", ""B"": ""Daniel"", ""C"": ""Grace""}",What does Harper think Daniel believes about the dinner time?,7 PM,Daniel has never encountered the dinner time,Harper thinks Daniel doesn't know about the dinner time,8 PM,D,"Harper knows that Daniel was present for event_1, event_2. From Harper's perspective, Daniel's belief would be: 8 PM. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""schedule_change"", ""selective_communication"", ""information_asymmetry""]"
Q_SCN008_T3,SCN_008,domestic,easy,original,3,counterfactual_tom,"Harper tells Daniel and Grace that dinner will be at 7 PM. Harper texts Daniel privately that dinner is moved to 8 PM. Grace asks Daniel what time dinner is, but Daniel is on the phone and doesn't hear her.","{""A"": ""Harper"", ""B"": ""Daniel"", ""C"": ""Grace""}","If Harper had witnessed event_3, what would Harper most likely think about Daniel's intention?",Daniel was confused or mistaken,Daniel was unaware of the consequences,Daniel was acting with hidden intent,Daniel was trying to help or organize,C,"Counterfactually, if Harper had witnessed event_3 (Grace asks Daniel what time dinner is, but Daniel is on the phone and doesn't hear her.), Harper would likely interpret Daniel's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""schedule_change"", ""selective_communication"", ""information_asymmetry""]"
Q_SCN009_T1,SCN_009,domestic,hard,original,1,first_order_tom,Ella puts her keys in the blue bowl by the front door. Marcus accidentally knocks the bowl and the keys fall behind the shoe rack. Freya finds the keys behind the shoe rack and puts them in her pocket. Ella comes to the front door looking for her keys.,"{""A"": ""Ella"", ""B"": ""Marcus"", ""C"": ""Freya""}","Based on what Ella has witnessed, what does Ella believe about the keys location?",her pocket,blue bowl,behind shoe rack,Ella does not know,B,"Ella only witnessed event_1, event_4. They did not witness event_2, event_3. Therefore, Ella believes the keys location is: blue bowl.","[""object_location"", ""chain_transfer"", ""false_belief""]"
Q_SCN009_T2,SCN_009,domestic,hard,original,2,second_order_tom,Ella puts her keys in the blue bowl by the front door. Marcus accidentally knocks the bowl and the keys fall behind the shoe rack. Freya finds the keys behind the shoe rack and puts them in her pocket. Ella comes to the front door looking for her keys.,"{""A"": ""Ella"", ""B"": ""Marcus"", ""C"": ""Freya""}",What does Ella think Marcus believes about the keys location?,behind shoe rack,Ella thinks Marcus doesn't know about the keys location,blue bowl,her pocket,C,"Ella knows that Marcus was present for event_1. From Ella's perspective, Marcus's belief would be: blue bowl. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""chain_transfer"", ""false_belief""]"
Q_SCN009_T3,SCN_009,domestic,hard,original,3,counterfactual_tom,Ella puts her keys in the blue bowl by the front door. Marcus accidentally knocks the bowl and the keys fall behind the shoe rack. Freya finds the keys behind the shoe rack and puts them in her pocket. Ella comes to the front door looking for her keys.,"{""A"": ""Ella"", ""B"": ""Marcus"", ""C"": ""Freya""}","If Ella had witnessed event_2, what would Ella most likely think about Marcus's intention?",Marcus was unaware of the consequences,Marcus was confused or mistaken,Marcus was trying to help or organize,Marcus was acting with hidden intent,D,"Counterfactually, if Ella had witnessed event_2 (Marcus accidentally knocks the bowl and the keys fall behind the shoe rack.), Ella would likely interpret Marcus's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""chain_transfer"", ""false_belief""]"
Q_SCN010_T1,SCN_010,domestic,medium,original,1,first_order_tom,Aiden tells Clara he is feeling fine. Aiden privately tells Finn he actually feels sick but doesn't want Clara to worry. Clara notices Aiden looks pale but doesn't say anything.,"{""A"": ""Aiden"", ""B"": ""Clara"", ""C"": ""Finn""}","Based on what Aiden has witnessed, what does Aiden believe about the about own health?",says fine but looks pale,Aiden has no opinion about it,sick,Aiden does not know,C,"Aiden only witnessed event_1, event_2. They did not witness event_3. Therefore, Aiden believes the about own health is: sick.","[""deception"", ""emotional_state"", ""information_asymmetry""]"
Q_SCN010_T2,SCN_010,domestic,medium,original,2,second_order_tom,Aiden tells Clara he is feeling fine. Aiden privately tells Finn he actually feels sick but doesn't want Clara to worry. Clara notices Aiden looks pale but doesn't say anything.,"{""A"": ""Aiden"", ""B"": ""Clara"", ""C"": ""Finn""}",What does Aiden think Clara believes about the about own health?,Clara has never encountered the about own health,says fine but looks pale,sick,Aiden thinks Clara doesn't know about the about own health,C,"Aiden knows that Clara was present for event_1. From Aiden's perspective, Clara's belief would be: sick. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""deception"", ""emotional_state"", ""information_asymmetry""]"
Q_SCN010_T3,SCN_010,domestic,medium,original,3,counterfactual_tom,Aiden tells Clara he is feeling fine. Aiden privately tells Finn he actually feels sick but doesn't want Clara to worry. Clara notices Aiden looks pale but doesn't say anything.,"{""A"": ""Aiden"", ""B"": ""Clara"", ""C"": ""Finn""}","If Aiden had witnessed event_3, what would Aiden most likely think about Clara's intention?",Clara was acting with hidden intent,Clara was trying to help or organize,Clara was confused or mistaken,Clara was unaware of the consequences,A,"Counterfactually, if Aiden had witnessed event_3 (Clara notices Aiden looks pale but doesn't say anything.), Aiden would likely interpret Clara's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""deception"", ""emotional_state"", ""information_asymmetry""]"
Q_SCN011_T1,SCN_011,domestic,easy,original,1,first_order_tom,"Penelope puts the cat's medicine in the top kitchen cabinet. Oscar moves the medicine to the bathroom cabinet for safety, while Penelope is asleep. Penelope wakes up and goes to give the cat its medicine.","{""A"": ""Penelope"", ""B"": ""Oscar"", ""C"": ""Iris""}","Based on what Penelope has witnessed, what does Penelope believe about the medicine location?",Penelope does not know,top kitchen cabinet,Penelope has no opinion about it,bathroom cabinet,B,"Penelope only witnessed event_1, event_3. They did not witness event_2. Therefore, Penelope believes the medicine location is: top kitchen cabinet.","[""object_location"", ""false_belief"", ""practical_scenario""]"
Q_SCN011_T2,SCN_011,domestic,easy,original,2,second_order_tom,"Penelope puts the cat's medicine in the top kitchen cabinet. Oscar moves the medicine to the bathroom cabinet for safety, while Penelope is asleep. Penelope wakes up and goes to give the cat its medicine.","{""A"": ""Penelope"", ""B"": ""Oscar"", ""C"": ""Iris""}",What does Penelope think Oscar believes about the medicine location?,top kitchen cabinet,Oscar has never encountered the medicine location,Penelope thinks Oscar doesn't know about the medicine location,bathroom cabinet,A,"Penelope knows that Oscar was present for event_1. From Penelope's perspective, Oscar's belief would be: top kitchen cabinet. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""false_belief"", ""practical_scenario""]"
Q_SCN011_T3,SCN_011,domestic,easy,original,3,counterfactual_tom,"Penelope puts the cat's medicine in the top kitchen cabinet. Oscar moves the medicine to the bathroom cabinet for safety, while Penelope is asleep. Penelope wakes up and goes to give the cat its medicine.","{""A"": ""Penelope"", ""B"": ""Oscar"", ""C"": ""Iris""}","If Penelope had witnessed event_2, what would Penelope most likely think about Oscar's intention?",Oscar was acting with hidden intent,Oscar was trying to help or organize,Oscar was confused or mistaken,Oscar was unaware of the consequences,A,"Counterfactually, if Penelope had witnessed event_2 (Oscar moves the medicine to the bathroom cabinet for safety, while Penelope is asleep.), Penelope would likely interpret Oscar's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""false_belief"", ""practical_scenario""]"
Q_SCN012_T1,SCN_012,domestic,medium,original,1,first_order_tom,"Ruby hides Easter eggs in the garden, specifically near the rose bush. Felix watches through the window and sees Ruby hiding eggs near the rose bush. Hazel moves some eggs from the rose bush to the birdbath without anyone seeing. Ruby announces it's time for the egg hunt.","{""A"": ""Ruby"", ""B"": ""Felix"", ""C"": ""Hazel""}","Based on what Ruby has witnessed, what does Ruby believe about the eggs location?","some near rose bush, some at birdbath",Ruby has no opinion about it,near rose bush,Ruby does not know,C,"Ruby only witnessed event_1, event_4. They did not witness event_2, event_3. Therefore, Ruby believes the eggs location is: near rose bush.","[""object_location"", ""secret_observation"", ""partial_move""]"
Q_SCN012_T2,SCN_012,domestic,medium,original,2,second_order_tom,"Ruby hides Easter eggs in the garden, specifically near the rose bush. Felix watches through the window and sees Ruby hiding eggs near the rose bush. Hazel moves some eggs from the rose bush to the birdbath without anyone seeing. Ruby announces it's time for the egg hunt.","{""A"": ""Ruby"", ""B"": ""Felix"", ""C"": ""Hazel""}",What does Ruby think Felix believes about the eggs location?,"some near rose bush, some at birdbath",Ruby thinks Felix doesn't know about the eggs location,near rose bush,Felix has never encountered the eggs location,C,"Ruby knows that Felix was present for event_4. From Ruby's perspective, Felix's belief would be: near rose bush. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""object_location"", ""secret_observation"", ""partial_move""]"
Q_SCN012_T3,SCN_012,domestic,medium,original,3,counterfactual_tom,"Ruby hides Easter eggs in the garden, specifically near the rose bush. Felix watches through the window and sees Ruby hiding eggs near the rose bush. Hazel moves some eggs from the rose bush to the birdbath without anyone seeing. Ruby announces it's time for the egg hunt.","{""A"": ""Ruby"", ""B"": ""Felix"", ""C"": ""Hazel""}","If Ruby had witnessed event_2, what would Ruby most likely think about Felix's intention?",Felix was trying to help or organize,Felix was confused or mistaken,Felix was unaware of the consequences,Felix was acting with hidden intent,D,"Counterfactually, if Ruby had witnessed event_2 (Felix watches through the window and sees Ruby hiding eggs near the rose bush.), Ruby would likely interpret Felix's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""object_location"", ""secret_observation"", ""partial_move""]"
Q_SCN013_T1,SCN_013,domestic,hard,original,1,first_order_tom,Violet puts a love letter for Leo inside a book on the living room shelf. Ivy borrows the book without knowing the letter is inside. Leo goes to the shelf to browse books and doesn't find the specific book.,"{""A"": ""Violet"", ""B"": ""Leo"", ""C"": ""Ivy""}","Based on what Violet has witnessed, what does Violet believe about the letter location?","missing from shelf, doesn't know about letter",inside book on shelf,"a book, unaware of letter inside",Violet does not know,B,"Violet only witnessed event_1. They did not witness event_2, event_3. Therefore, Violet believes the letter location is: inside book on shelf.","[""hidden_object"", ""unknowing_transfer"", ""false_belief""]"
Q_SCN013_T2,SCN_013,domestic,hard,original,2,second_order_tom,Violet puts a love letter for Leo inside a book on the living room shelf. Ivy borrows the book without knowing the letter is inside. Leo goes to the shelf to browse books and doesn't find the specific book.,"{""A"": ""Violet"", ""B"": ""Leo"", ""C"": ""Ivy""}",What does Violet think Leo believes about the letter location?,inside book on shelf,"a book, unaware of letter inside","missing from shelf, doesn't know about letter",Violet thinks Leo doesn't know about the letter location,A,"Violet knows that Leo was present for some events. From Violet's perspective, Leo's belief would be: inside book on shelf. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""hidden_object"", ""unknowing_transfer"", ""false_belief""]"
Q_SCN013_T3,SCN_013,domestic,hard,original,3,counterfactual_tom,Violet puts a love letter for Leo inside a book on the living room shelf. Ivy borrows the book without knowing the letter is inside. Leo goes to the shelf to browse books and doesn't find the specific book.,"{""A"": ""Violet"", ""B"": ""Leo"", ""C"": ""Ivy""}","If Violet had witnessed event_2, what would Violet most likely think about Leo's intention?",Leo was trying to help or organize,Leo was acting with hidden intent,Leo was unaware of the consequences,Leo was confused or mistaken,B,"Counterfactually, if Violet had witnessed event_2 (Ivy borrows the book without knowing the letter is inside.), Violet would likely interpret Leo's action as intentional or purposeful. Without additional context suggesting benign intent, the default social interpretation leans toward hidden intent.","[""hidden_object"", ""unknowing_transfer"", ""false_belief""]"
Q_SCN014_T1,SCN_014,domestic,medium,original,1,first_order_tom,Theo pours orange juice into a green pitcher and puts it in the fridge. Luna drinks the last of the juice and refills the pitcher with lemonade. Max sees the green pitcher in the fridge but wasn't present for any pouring.,"{""A"": ""Theo"", ""B"": ""Luna"", ""C"": ""Max""}","Based on what Theo has witnessed, what does Theo believe about the pitcher contains?",Theo does not know,lemonade,unknown liquid,orange juice,D,"Theo only witnessed event_1. They did not witness event_2, event_3. Therefore, Theo believes the pitcher contains is: orange juice.","[""content_change"", ""false_belief"", ""appearance_vs_reality""]"
Q_SCN014_T2,SCN_014,domestic,medium,original,2,second_order_tom,Theo pours orange juice into a green pitcher and puts it in the fridge. Luna drinks the last of the juice and refills the pitcher with lemonade. Max sees the green pitcher in the fridge but wasn't present for any pouring.,"{""A"": ""Theo"", ""B"": ""Luna"", ""C"": ""Max""}",What does Theo think Luna believes about the pitcher contains?,Theo thinks Luna doesn't know about the pitcher contains,lemonade,orange juice,unknown liquid,C,"Theo knows that Luna was present for event_1. From Theo's perspective, Luna's belief would be: orange juice. This tests whether the model distinguishes 'what B actually knows' from 'what A thinks B knows'.","[""content_change"", ""false_belief"", ""appearance_vs_reality""]"
